Participant ID ,Q: Understanding_crisis,Code ,Notes,Code2,Conflict,CodeFinal,Notes
CSI4433,"The discovery that many studies that were well established, when replicating them, actually did not gather the same/as significant/even significant at all results.",1,,,,1,
MW3963,"The fact that a large amount of our scientific literature, specifically that of the 20th century, is not replicable. When we attempt to replicate the findings, we either fail or find contary findings entirely.",1,,,,1,
AE5016,"The fact that a lot of studies, particularly older ones, when replicated do not produce the same results",1,,,,1,
AP5277,The fact that data provided from research and subsequent conclusions and theories were not replicated when other researches conducted the same research.,1,,,,1,
KB1485,The fact that many studies are difficult if not impossible to reproduce,0,,,,0,
GH3630,The fact that many studies in psychology cannot be replicated and therefore the results can not be considered credible.,1,? check,,,1,
CW4287,"The fact that most of the studies were/are not replicated, especially with the same results",1,,,,1,
GP7113,"The fact that studies previously done are now not being replicated when repeated. due to a number of factors such as poor data handling, change in culture, data manipulation, only 'positive findings' being published etc",1,,,,1,
CA2374,The failure of many research studies to replicate when completed by other researchers,0,,,,0,
RS9886,The failure to replicate the one-time successful studies,0,,,,0,
NC2632,"The failure to replicate the results of research in all scientific disciplines, seemingly brought about by a bias towards publishing positive and flashy results by journals and pressure to churn out positive results on academic researchers.",1,,,,1,
HF7693,The finding that many studies in social science are hard or even impossible to replicate and produce similar results,1,,,,1,
lf0250,"The idea that fundamental/pioneering studies from previous decades, ones we often use as a reference for current research, are not replicable in modern times.",0,,,,0,
MI1199,the idea that many scientific studies and difficult or impossible to replicate so results are likely unlikely to be reliable,1,,,,1,
AS1719,The idea that many scientific studies are difficult or impossible to replicate this is especially true for the social sciences.,0,,,,0,
AS1801,"the idea that replication can never fully be the same and is impossible, because the participants will be different, context, culture and society may be slightly different i.e a study conducted pre covid and one conducted after covid could show different results because of the different contexts. The crisis is no study will ever be the same as the previous study it is trying to replicate.",0,,,,0,
CA2955,The idea that results cannot be reproduced.,0,,,,0,
EF9886,The idea that results of a study are unable to be reproduced if the study was repeated,1,,,,1,
EAD2970,The importance of being able to replicate studies and produce the same results increasing reliability,0,Doesn't state the problem,,,0,
RB6723,The inability for researchers to replicate findings from studies before and/or get findings that do replicate or don't replicate published in scientific journals.,1,,,,1,
JG8205,The inability to repeat studies and get the same results,1,,,,1,
OD2163,The inability to replicate or reproduce results from a previous study when following the same or similar procedures.,1,,,,1,
TM6561,The inability to replicate the findings of a lot of classic psychological studies/research,1,,,,1,
ED1696,The inability to reproduce the findings of studies that have reported specific results.,1,,,,1,
SG5254,The inability to reproduce/replicate previous study.,0,,,,0,
HM2358,The incentive structure of peer-review journal publishing pushing for novel/exciting research meaning previous studies are not run again to verify results and conclusions,1,,,,1,
aw8019,The issue of lack replicating data especially 'classic' studies that hard to replicate to find consistent results.,1,,,,1,
sg0373,"The issue of replicating a study whilst being able to control all the variables, as to not get an unreliable set of findings. One such variable is time period.",0,,,,0,
CR2939,The issue of researcher being unable to reproduce published studies.,0,,,,0,
NC3798,"The issue of studies not being able to be replicated/reproduced. Some thing that can be overcome by submitting a study plan (hypotheses, method, no. of participants, analyses etc) to a peer-reviewed journal or publishing online before collecting data.",1,"Although it doesn't mention results, the answer demonstrates some further understanding, hence the '1'",,,1,
RA9741,the issue of the methododolgy being not easy to replicate by other researchers,0,? Lack of transparency,,,0,
KW8163,The issue that a lot of studies in psychology cannot be replicated.,0,,,,0,
TR5314,The issue where replication of a study cannot be made.,0,,,,0,
ES0661,The issue where research/studies may not be able to be repeated by other researchers due to incorrect methodology etc,0,,,,0,
KL0499,The issues that arise from the same studies being completed in the same way but giving different results as a result of people being dishonest or manipulating their study - either by changing their hypothesis to fit their findings or being biased with their sample,1,,,,1,
GC7218,"The lack of psychology studies that reproduce the same results under the original conditions of the study, causing a lack of reliability within psychological research.",1,,,,1,
JG5708,The lack of replicating studies that have been done and finding the same results as the previous studies,1,,,,1,
NC1075,The methodology is not replicable,0,Too vague,,,0,
pk1250,The methodology of scientific studies being difficult or impossible ro replicate,0,? Lack of transparency - but probably not enough detail,,,0,
JB2017,The problem where researchers can't replicate studies due to the past researchers not providing all the information needed in order for easy replication,1,,,,1,
YB7967,"The realisation that much of psychological research has not adhered to good scientific practice, making many findings questionnable",1,? check - enough information?,,,1,
LM1024,The reliability of findings and research to reproduce these findings,0,Do they explain the problem?,,,0,
GB3318,The repilication/reproducibility crisis is when it was found that many scientific research was difficult to replicate and gain similar results.,1,,,,1,
EB2420,"The replication / reproducibility crisis surrounds the the fact that a number of studies, particularly in social science nature, are impossible to replicate due to a number of factors such as poor metholodgical design, inappropriate statistical analyses, and small sample size. If a study cant be replicated, then its findings cant been denied or further supported.",1,,,,1,
JJ6275,the replication crises was due to difficulty in replicating certain findings of research conducted,1,,,,1,
SD004,The replication crisis can be seen as the growing belief that the results from scientific studies cannot be replicated and therefore likely to be invalid.,0,Growing belief,,,0,
OG5969,The replication crisis is a crisis in psychology where research studies are being replicated but have coming out with different outcomes therefore there is something wrong with the original study,1,,,,1,
AD1234,"The replication crisis is a methodological crisis where it was found that many scientific studies were impossible or very difficult to replicate or reproduce, making the results questionable.",1,,,,1,
RS4755,The replication crisis is an ongoing crisis in the field of psychological research. It consists of difficulty or impossibility to replicate or reproduce many scientific studies done in the past.,0,,,,0,
SR4755,The replication crisis is an ongoing crisis in the field of psychological research. It consists of the difficulty or impossibility to replicate or reproduce many scientific studies done in the past.,0,,,,0,
MK326,The replication crisis is an ongoing methodological crisis in science whereby researchers find that the results of many scientific studies are difficult or impossible to replicate or reproduce on subsequent investigation,0,,,,0,
IT9580,The replication crisis is the phenomenon that a large percentage of published scientific studies when replicated do not yield the same results therefore this questions the reliability of the whole study.,1,,,,1,
GD8438,The replication crisis is when there are many studies who's results cannot be replicated.,1,,,,1,
IF2047,"The replication crisis is where science is struggling to replicate findings (whether that be due to nobody deciding to replicate studies, the studies getting rejected from journals due to publication bias and lack of positive results, incorrectly replicating studies, studies being under powered, p-hacking etc, ) and the reproducibility is that crisis where the results of original studication are failing to be reproduced",1,,,,1,
AP5324,The replication crisis is where studies are replicated but the results found within these initial studies cannot be replicated,1,,,,1,
LL5771,The replication crisis means that the results of a certain study can not be reproduced. This can cause problems in the reliability of the study.,1,,,,1,
RA6452,The replication crisis refers to psychological research not being able to produce consistent results. Due to researchers manipulation of method analysis ect.,1,,,,1,
ZS4978,The replication crisis refers to studies in Psychology producing non-replicable results possibly due to methodological issues. The inability to give similar results raises questions on the studies' reliability,1,,,,1,
ac2844,The replication crisis refers to the difficulty researchers face that studies can not be reproduced and replicated. This also means the results of studies are not replicable.,1,,,,1,
MJ6232,The replication crisis refers to the growing belief that the results of many scientific studies cannot be reproduced and are thus likely to be wrong,0,Growing belief,,,0,
LT1819,"The replication crisis refers to the problem that when many old studies are replicated, their findings are not consistent. Therefore, the accuracy of these previous findings are questionable.",1,,,,1,
JF1982,"The replication crisis, at least in psychology, is the belief that some studies cannot be reproduced and may be wrong",0,,,,0,
FC2406,the replication of an experiment,0,,,,0,
Lh9126,The replication of research studies by other researchers,0,,,,0,
MV8806,The replication/ reproducibility crisis is an ongoing methodological crisis in which it has been found that many scientific studies are difficult or impossible to replicate or reproduce.,0,,,,0,
CD9789,The replications of past studies haven't been showing the same results as they did and that many of them can't even be reproduced. This suggests that a lot of theories and results we thought were true are most likely not.,1,,,,1,
CB3150,The research study cannot be replicated by other researchers due to the lack of data provided,1,Lack of transparency,,,1,
AH2288,"The results of many older studies, including famous ones, which a lot of current psychology was built on, are not found to be replicated. This puts a lot of findings into doubt.",1,,,,1,
RG4319,The results of the study should be able to be replicated to be valid and reliable,0,Doesn't explain the problem,,,0,
MG5937,the struggles of repeating studies,0,,,,0,
RA0779,The studies that have purposely or accidentally used QRP's and as a result lots of replication studies are showing different results to the original findings.,1,,,,1,
KP26868,The validity of past studies has turned out to be false. A lot of studies were reviewed and reattempted by a large group of researchers and less than half we're replicable.,0,? check ,,,0,
LP2843,There are problems in being able to replicate studies,0,,,,0,
TH1066,There has been great difficulty in reproducing psychological research that throws the reliability of such studies into question,0,,,,0,
ZA3457,There is an issue with replicating findings in research which suggests a problem with reliability,0,,,,0,
RP2308,"This is a crisis that was prominent within psychology, in which it was found that many studies, when replicated, were not producing the same results as compared to the original study. This was either due to differences in methodology of original/replication study, problems in methodology causing variation, or simply a lack of power.",1,,,,1,
LM1808,This is the idea that research that has been replicated is unable to yield the same results as they did in the original study.,1,,,,1,
SS7952,"This issue that many studies from the past report significant findings but when an attempt to replicate the findings was carried out, no significant effect was found.",1,,,,1,
FK7076,Too many replication studies in the scientific community leading to a reduction in original research.,0,,,,0,
AT6838,Too much replication of the same things,0,,,,0,
AM9495,"trying to replicate the same aim, methods, materials but with different sample, but that's only if accessible ?",0,,,,0,
AN2489,"Unsuccessful replication of studies that found an effect. The crisis is very tightly linked to publication bias, where only significant findings are published - therefore, studies that found an effect could be in the 5% of the studies that were conducted on some topic and that found that effect by chance. Frankly, all this makes me unsure of me finishing my degree as I come from engineering/math background.",1,,,,1,
CS9228,Unsure,0,,,,0,
JE8724,Using a previous studies design,0,,,,0,
jk6849,Very few findings in psychology have been replicated which means they may not be true as using a p value of 0.05 means 1 in every 20 positive findings will be false positives however if nothing is replicated then we have no way of knowing which are the false positives,1,? check,,,1,
aa7511,"We are prone to researching attractive subjects, with juicy conclusions. So when results are incorrect, data is manipulated to find a cool conclusion or the data is buried. Bad data needs to be shared, just like we enjoy bad movies; we need to know what went wrong",1,,,,1,
ak5522,we need to be able to replicate studies to test validity,0,,,,0,
AR7676,When a study is too hard to replicate,0,,,,0,
TM28080,When an experiment fails to produce similar results,1,? check - is there enough info here?,,,1,
AK7530,When attempts are made to replicate a study different results are obtained. The study cannot be replicated.,1,,,,1,
Er5315,"When data should be repeated in order to increase the reliability of results, but the researcher doesn't give the relevant information.",1,? check - lack of transparency? ,,,1,
JK0072,When experiments previously published actually do not replicate. They are not valid.,0,,,,0,
ZB4816,"when other researchers cannot replicate a study/ have trouble doing this due to e.g. it being outdated, now unethical etc",0,,,,0,
AK3752,When other researchers cannot replicate the findings of a study,1,,,,1,
GC3224,"When other researchers try to replicate other researchers findings, they are unable to.",1,,,,1,
GT8676,"when people try to replicate studies however obtain different results, low reliability",1,,,,1,
lh1815,when previous research is replicated and that research has been altered to get the desired results and thenpunblished without an academic journal proofing this first,0,"? check - the first part might be ok, but rather vague",,,0,
PV8764,When previously done research study is replicated and results show different results/do not confirm theory,1,,,,1,
TR5314,"When replicating a particular study becomes difficult due to lack of materials, etc.",0,"Possibly lack of transparency, but rather vague",,,0,
HL7577,when research is difficult to replicate/ reproduce,0,,,,0,
JW3347,"When research is unable to be sufficiently replicated due to the researcher not sharing enough detail to do so, in doing this their study cannot be fairly checked before being taken as valid.",1,,,,1,
AA8362,When researchers are biased in publishing studies that only show significant results or results they hoped to find. This means that the studies that are replicated do not produce significant results when it is carried out the way it should be.,1,,,,1,
BN0996,when researchers work is not replicable,0,,,,0,
SB2453,when results from research cannot be reproduced so research may be wrong,1,,,,1,
AS0000,When results that have been taken as fact cannot be reproduced by other teams,1,,,,1,
MM5178,when scientists cannot duplicate a study,0,,,,0,
MK0981,When studies are almost impossible to reproduce as it is now illegal to follow the same methods/design used in the original studies,0,,,,0,
NP4894,When studies are found to be difficult to replicate.,0,,,,0,
PF7051,When studies are impossible to replicate,0,,,,0,
RT8258,when studies are not being successfully replicated,0,,,,0,
cj3443,"When studies are replicated, the same results are not reproduced - meaning the results are not reliable.",1,,,,1,
EC5938,When studies cannot be replicated to test the reliability of a study,0,,,,0,
KH2410,When studies do not openly determine their aims and details of their planned research process prior to collecting data - can lead to unreliable information being published,1,"? check - describes good practice, but not sure if it's enough",,,1,
ZL9078,when studies struggle to be correctly replicated,0,,,,0,
AH530,when studies that are replicated do not get the same result,1,,,,1,
Sa8482,When there are studies that cannot be reproduced or done again,0,,,,0,
EA8353,"When there was a time were psychological studies were re-done or copied  with the same methods, sample size, number of participants... and results came to  reveal many differences which indicated that the studies examiners replicated from weren't totally honest or truthful with their hypothesis. 
",1,,,,1,
EH2567,"When too many studies do not replicate, even those that are very important to psychology or whatnot",0,,,,0,
LH4244,When you replicate and reproduce a poorly done study,0,,,,0,
GH9919,"When you replicate someone's study, your study becomes same as their's.",0,,,,0,
SH2020,When you replicate the study,0,,,,0,
AC0297,Where a study is difficult to replicate,0,,,,0,
HU8082,Where it is difficult to find the same results of a previous study,1,? check - enough detail?,,,1,
BJ7124,where it was found that many scientific studies were to difficult to replicate,0,,,,0,
AL7295,"Where many psychology studies which have been replicated do not find the same results, especially in social psychology.",1,,,,1,
BB0632,where research can be difficult or even impossible to replicate,0,,,,0,
CJ6260,"Where research, sometimes fairly poignant research, cannot be repeated or 'replicated'. This raises doubts upon the primary study.
",0,,,,0,
jw7775,Where researchers chase significant results in order to get research published,1,,,,1,
SH1566,Where researchers have struggled to relicate/ reproduce results and findings from previous researchers,1,,,,1,
JS7292,Where some studies are difficult to reproduce with the same effects/results,1,,,,1,
GB4578,Where studies are near impossible to replicate due to a lack of availability of key components relying to methodology,1,,,,1,
CR0751,Where the findings in scientific studies are almost impossible to be reproduced,1,,,,1,
SP5590,Where there is an issue with the replication as it did not go to plan,0,,,,0,
AP0334,Where to many studies or classic studies are being replicated,0,,,,0,
LW1834,Whereby many studies are difficult or merely impossible to replicate/ provide the same findings nowadays in comparison to before.,0,,,,0,
IW7971,Whereby studies were being published when the findings weren’t reliable and wrong ideas and theories were being fed to the public,0,,,,0,
ES3171,Whether a study is legitimate and a persons own work,0,,,,0,
ck6136,"whether research can be reproduced and be proved to be reliable, and how researchers can make this possible for others and if it should even be done in the first place",0,,,,0,
GP9970,worry on the replication of studies and the studies being wrong,0,,,,0,
